block_id,split,country,city,top_left_row,top_left_col,top_left_patch_id,top_left_coarse_label,top_right_patch_id,top_right_coarse_label,bottom_left_patch_id,bottom_left_coarse_label,bottom_right_patch_id,bottom_right_coarse_label,n_valid,n_built,all_four_valid,has_built_up,use_for_block_training,is_tiling_anchor,use_for_tiling_eval
Italy_Bari_r001_c005_2x2,train,Italy,Bari,1,5,Italy_Bari_r001_c005_x800_y160_s160,4,Italy_Bari_r001_c006_x960_y160_s160,4,Italy_Bari_r002_c005_x800_y320_s160,4,Italy_Bari_r002_c006_x960_y320_s160,3,4,4,true,true,true,false,false
Italy_Bari_r001_c006_2x2,train,Italy,Bari,1,6,Italy_Bari_r001_c006_x960_y160_s160,4,Italy_Bari_r001_c007_x1120_y160_s160,4,Italy_Bari_r002_c006_x960_y320_s160,3,Italy_Bari_r002_c007_x1120_y320_s160,3,4,4,true,true,true,false,false
Italy_Bari_r001_c007_2x2,train,Italy,Bari,1,7,Italy_Bari_r001_c007_x1120_y160_s160,4,Italy_Bari_r001_c008_x1280_y160_s160,4,Italy_Bari_r002_c007_x1120_y320_s160,3,Italy_Bari_r002_c008_x1280_y320_s160,4,4,4,true,true,true,false,false
Italy_Bari_r001_c008_2x2,train,Italy,Bari,1,8,Italy_Bari_r001_c008_x1280_y160_s160,4,Italy_Bari_r001_c009_x1440_y160_s160,4,Italy_Bari_r002_c008_x1280_y320_s160,4,Italy_Bari_r002_c009_x1440_y320_s160,4,4,4,true,true,true,false,false
Italy_Bari_r001_c009_2x2,train,Italy,Bari,1,9,Italy_Bari_r001_c009_x1440_y160_s160,4,Italy_Bari_r001_c010_x1600_y160_s160,3,Italy_Bari_r002_c009_x1440_y320_s160,4,Italy_Bari_r002_c010_x1600_y320_s160,4,4,4,true,true,true,false,false
Italy_Bari_r001_c010_2x2,train,Italy,Bari,1,10,Italy_Bari_r001_c010_x1600_y160_s160,3,Italy_Bari_r001_c011_x1760_y160_s160,3,Italy_Bari_r002_c010_x1600_y320_s160,4,Italy_Bari_r002_c011_x1760_y320_s160,3,4,4,true,true,true,false,false
Italy_Bari_r001_c011_2x2,train,Italy,Bari,1,11,Italy_Bari_r001_c011_x1760_y160_s160,3,Italy_Bari_r001_c012_x1920_y160_s160,2,Italy_Bari_r002_c011_x1760_y320_s160,3,Italy_Bari_r002_c012_x1920_y320_s160,3,4,3,true,true,true,false,false
Italy_Bari_r001_c012_2x2,train,Italy,Bari,1,12,Italy_Bari_r001_c012_x1920_y160_s160,2,Italy_Bari_r001_c013_x2080_y160_s160,2,Italy_Bari_r002_c012_x1920_y320_s160,3,Italy_Bari_r002_c013_x2080_y320_s160,3,4,2,true,true,true,false,false
Italy_Bari_r001_c013_2x2,train,Italy,Bari,1,13,Italy_Bari_r001_c013_x2080_y160_s160,2,Italy_Bari_r001_c014_x2175_y160_s160,2,Italy_Bari_r002_c013_x2080_y320_s160,3,Italy_Bari_r002_c014_x2175_y320_s160,3,4,2,true,true,true,false,false
Italy_Bari_r002_c000_2x2,train,Italy,Bari,2,0,Italy_Bari_r002_c000_x0_y320_s160,3,Italy_Bari_r002_c001_x160_y320_s160,3,Italy_Bari_r003_c000_x0_y480_s160,3,Italy_Bari_r003_c001_x160_y480_s160,3,4,4,true,true,true,true,true
Italy_Bari_r002_c001_2x2,train,Italy,Bari,2,1,Italy_Bari_r002_c001_x160_y320_s160,3,Italy_Bari_r002_c002_x320_y320_s160,4,Italy_Bari_r003_c001_x160_y480_s160,3,Italy_Bari_r003_c002_x320_y480_s160,4,4,4,true,true,true,false,false
Italy_Bari_r002_c002_2x2,train,Italy,Bari,2,2,Italy_Bari_r002_c002_x320_y320_s160,4,Italy_Bari_r002_c003_x480_y320_s160,4,Italy_Bari_r003_c002_x320_y480_s160,4,Italy_Bari_r003_c003_x480_y480_s160,4,4,4,true,true,true,true,true
Italy_Bari_r002_c003_2x2,train,Italy,Bari,2,3,Italy_Bari_r002_c003_x480_y320_s160,4,Italy_Bari_r002_c004_x640_y320_s160,4,Italy_Bari_r003_c003_x480_y480_s160,4,Italy_Bari_r003_c004_x640_y480_s160,4,4,4,true,true,true,false,false
Italy_Bari_r002_c004_2x2,train,Italy,Bari,2,4,Italy_Bari_r002_c004_x640_y320_s160,4,Italy_Bari_r002_c005_x800_y320_s160,4,Italy_Bari_r003_c004_x640_y480_s160,4,Italy_Bari_r003_c005_x800_y480_s160,4,4,4,true,true,true,true,true
Italy_Bari_r002_c005_2x2,train,Italy,Bari,2,5,Italy_Bari_r002_c005_x800_y320_s160,4,Italy_Bari_r002_c006_x960_y320_s160,3,Italy_Bari_r003_c005_x800_y480_s160,4,Italy_Bari_r003_c006_x960_y480_s160,3,4,4,true,true,true,false,false
Italy_Bari_r002_c006_2x2,train,Italy,Bari,2,6,Italy_Bari_r002_c006_x960_y320_s160,3,Italy_Bari_r002_c007_x1120_y320_s160,3,Italy_Bari_r003_c006_x960_y480_s160,3,Italy_Bari_r003_c007_x1120_y480_s160,3,4,4,true,true,true,true,true
Italy_Bari_r002_c007_2x2,train,Italy,Bari,2,7,Italy_Bari_r002_c007_x1120_y320_s160,3,Italy_Bari_r002_c008_x1280_y320_s160,4,Italy_Bari_r003_c007_x1120_y480_s160,3,Italy_Bari_r003_c008_x1280_y480_s160,3,4,4,true,true,true,false,false
Italy_Bari_r002_c008_2x2,train,Italy,Bari,2,8,Italy_Bari_r002_c008_x1280_y320_s160,4,Italy_Bari_r002_c009_x1440_y320_s160,4,Italy_Bari_r003_c008_x1280_y480_s160,3,Italy_Bari_r003_c009_x1440_y480_s160,4,4,4,true,true,true,true,true
Italy_Bari_r002_c009_2x2,train,Italy,Bari,2,9,Italy_Bari_r002_c009_x1440_y320_s160,4,Italy_Bari_r002_c010_x1600_y320_s160,4,Italy_Bari_r003_c009_x1440_y480_s160,4,Italy_Bari_r003_c010_x1600_y480_s160,4,4,4,true,true,true,false,false
Italy_Bari_r002_c010_2x2,train,Italy,Bari,2,10,Italy_Bari_r002_c010_x1600_y320_s160,4,Italy_Bari_r002_c011_x1760_y320_s160,3,Italy_Bari_r003_c010_x1600_y480_s160,4,Italy_Bari_r003_c011_x1760_y480_s160,3,4,4,true,true,true,true,true
Italy_Bari_r002_c011_2x2,train,Italy,Bari,2,11,Italy_Bari_r002_c011_x1760_y320_s160,3,Italy_Bari_r002_c012_x1920_y320_s160,3,Italy_Bari_r003_c011_x1760_y480_s160,3,Italy_Bari_r003_c012_x1920_y480_s160,3,4,4,true,true,true,false,false
Italy_Bari_r002_c012_2x2,train,Italy,Bari,2,12,Italy_Bari_r002_c012_x1920_y320_s160,3,Italy_Bari_r002_c013_x2080_y320_s160,3,Italy_Bari_r003_c012_x1920_y480_s160,3,Italy_Bari_r003_c013_x2080_y480_s160,3,4,4,true,true,true,true,true
Italy_Bari_r002_c013_2x2,train,Italy,Bari,2,13,Italy_Bari_r002_c013_x2080_y320_s160,3,Italy_Bari_r002_c014_x2175_y320_s160,3,Italy_Bari_r003_c013_x2080_y480_s160,3,Italy_Bari_r003_c014_x2175_y480_s160,3,4,4,true,true,true,false,false
Italy_Bari_r003_c000_2x2,train,Italy,Bari,3,0,Italy_Bari_r003_c000_x0_y480_s160,3,Italy_Bari_r003_c001_x160_y480_s160,3,Italy_Bari_r004_c000_x0_y640_s160,2,Italy_Bari_r004_c001_x160_y640_s160,3,4,3,true,true,true,false,false
Italy_Bari_r003_c001_2x2,train,Italy,Bari,3,1,Italy_Bari_r003_c001_x160_y480_s160,3,Italy_Bari_r003_c002_x320_y480_s160,4,Italy_Bari_r004_c001_x160_y640_s160,3,Italy_Bari_r004_c002_x320_y640_s160,3,4,4,true,true,true,false,false
Italy_Bari_r003_c002_2x2,train,Italy,Bari,3,2,Italy_Bari_r003_c002_x320_y480_s160,4,Italy_Bari_r003_c003_x480_y480_s160,4,Italy_Bari_r004_c002_x320_y640_s160,3,Italy_Bari_r004_c003_x480_y640_s160,4,4,4,true,true,true,false,false
Italy_Bari_r003_c003_2x2,train,Italy,Bari,3,3,Italy_Bari_r003_c003_x480_y480_s160,4,Italy_Bari_r003_c004_x640_y480_s160,4,Italy_Bari_r004_c003_x480_y640_s160,4,Italy_Bari_r004_c004_x640_y640_s160,3,4,4,true,true,true,false,false
Italy_Bari_r003_c004_2x2,train,Italy,Bari,3,4,Italy_Bari_r003_c004_x640_y480_s160,4,Italy_Bari_r003_c005_x800_y480_s160,4,Italy_Bari_r004_c004_x640_y640_s160,3,Italy_Bari_r004_c005_x800_y640_s160,3,4,4,true,true,true,false,false
Italy_Bari_r003_c005_2x2,train,Italy,Bari,3,5,Italy_Bari_r003_c005_x800_y480_s160,4,Italy_Bari_r003_c006_x960_y480_s160,3,Italy_Bari_r004_c005_x800_y640_s160,3,Italy_Bari_r004_c006_x960_y640_s160,3,4,4,true,true,true,false,false
Italy_Bari_r003_c006_2x2,train,Italy,Bari,3,6,Italy_Bari_r003_c006_x960_y480_s160,3,Italy_Bari_r003_c007_x1120_y480_s160,3,Italy_Bari_r004_c006_x960_y640_s160,3,Italy_Bari_r004_c007_x1120_y640_s160,3,4,4,true,true,true,false,false
Italy_Bari_r003_c007_2x2,train,Italy,Bari,3,7,Italy_Bari_r003_c007_x1120_y480_s160,3,Italy_Bari_r003_c008_x1280_y480_s160,3,Italy_Bari_r004_c007_x1120_y640_s160,3,Italy_Bari_r004_c008_x1280_y640_s160,3,4,4,true,true,true,false,false
Italy_Bari_r003_c008_2x2,train,Italy,Bari,3,8,Italy_Bari_r003_c008_x1280_y480_s160,3,Italy_Bari_r003_c009_x1440_y480_s160,4,Italy_Bari_r004_c008_x1280_y640_s160,3,Italy_Bari_r004_c009_x1440_y640_s160,4,4,4,true,true,true,false,false
Italy_Bari_r003_c009_2x2,train,Italy,Bari,3,9,Italy_Bari_r003_c009_x1440_y480_s160,4,Italy_Bari_r003_c010_x1600_y480_s160,4,Italy_Bari_r004_c009_x1440_y640_s160,4,Italy_Bari_r004_c010_x1600_y640_s160,3,4,4,true,true,true,false,false
Italy_Bari_r003_c010_2x2,train,Italy,Bari,3,10,Italy_Bari_r003_c010_x1600_y480_s160,4,Italy_Bari_r003_c011_x1760_y480_s160,3,Italy_Bari_r004_c010_x1600_y640_s160,3,Italy_Bari_r004_c011_x1760_y640_s160,3,4,4,true,true,true,false,false
Italy_Bari_r003_c011_2x2,train,Italy,Bari,3,11,Italy_Bari_r003_c011_x1760_y480_s160,3,Italy_Bari_r003_c012_x1920_y480_s160,3,Italy_Bari_r004_c011_x1760_y640_s160,3,Italy_Bari_r004_c012_x1920_y640_s160,3,4,4,true,true,true,false,false
Italy_Bari_r003_c012_2x2,train,Italy,Bari,3,12,Italy_Bari_r003_c012_x1920_y480_s160,3,Italy_Bari_r003_c013_x2080_y480_s160,3,Italy_Bari_r004_c012_x1920_y640_s160,3,Italy_Bari_r004_c013_x2080_y640_s160,3,4,4,true,true,true,false,false
Italy_Bari_r003_c013_2x2,train,Italy,Bari,3,13,Italy_Bari_r003_c013_x2080_y480_s160,3,Italy_Bari_r003_c014_x2175_y480_s160,3,Italy_Bari_r004_c013_x2080_y640_s160,3,Italy_Bari_r004_c014_x2175_y640_s160,3,4,4,true,true,true,false,false
Italy_Bari_r004_c000_2x2,train,Italy,Bari,4,0,Italy_Bari_r004_c000_x0_y640_s160,2,Italy_Bari_r004_c001_x160_y640_s160,3,Italy_Bari_r005_c000_x0_y800_s160,3,Italy_Bari_r005_c001_x160_y800_s160,3,4,3,true,true,true,true,true
Italy_Bari_r004_c001_2x2,train,Italy,Bari,4,1,Italy_Bari_r004_c001_x160_y640_s160,3,Italy_Bari_r004_c002_x320_y640_s160,3,Italy_Bari_r005_c001_x160_y800_s160,3,Italy_Bari_r005_c002_x320_y800_s160,3,4,4,true,true,true,false,false
Italy_Bari_r004_c002_2x2,train,Italy,Bari,4,2,Italy_Bari_r004_c002_x320_y640_s160,3,Italy_Bari_r004_c003_x480_y640_s160,4,Italy_Bari_r005_c002_x320_y800_s160,3,Italy_Bari_r005_c003_x480_y800_s160,3,4,4,true,true,true,true,true
Italy_Bari_r004_c003_2x2,train,Italy,Bari,4,3,Italy_Bari_r004_c003_x480_y640_s160,4,Italy_Bari_r004_c004_x640_y640_s160,3,Italy_Bari_r005_c003_x480_y800_s160,3,Italy_Bari_r005_c004_x640_y800_s160,3,4,4,true,true,true,false,false
Italy_Bari_r004_c004_2x2,train,Italy,Bari,4,4,Italy_Bari_r004_c004_x640_y640_s160,3,Italy_Bari_r004_c005_x800_y640_s160,3,Italy_Bari_r005_c004_x640_y800_s160,3,Italy_Bari_r005_c005_x800_y800_s160,3,4,4,true,true,true,true,true
Italy_Bari_r004_c005_2x2,train,Italy,Bari,4,5,Italy_Bari_r004_c005_x800_y640_s160,3,Italy_Bari_r004_c006_x960_y640_s160,3,Italy_Bari_r005_c005_x800_y800_s160,3,Italy_Bari_r005_c006_x960_y800_s160,3,4,4,true,true,true,false,false
Italy_Bari_r004_c006_2x2,train,Italy,Bari,4,6,Italy_Bari_r004_c006_x960_y640_s160,3,Italy_Bari_r004_c007_x1120_y640_s160,3,Italy_Bari_r005_c006_x960_y800_s160,3,Italy_Bari_r005_c007_x1120_y800_s160,3,4,4,true,true,true,true,true
Italy_Bari_r004_c007_2x2,train,Italy,Bari,4,7,Italy_Bari_r004_c007_x1120_y640_s160,3,Italy_Bari_r004_c008_x1280_y640_s160,3,Italy_Bari_r005_c007_x1120_y800_s160,3,Italy_Bari_r005_c008_x1280_y800_s160,3,4,4,true,true,true,false,false
Italy_Bari_r004_c008_2x2,train,Italy,Bari,4,8,Italy_Bari_r004_c008_x1280_y640_s160,3,Italy_Bari_r004_c009_x1440_y640_s160,4,Italy_Bari_r005_c008_x1280_y800_s160,3,Italy_Bari_r005_c009_x1440_y800_s160,4,4,4,true,true,true,true,true
Italy_Bari_r004_c009_2x2,train,Italy,Bari,4,9,Italy_Bari_r004_c009_x1440_y640_s160,4,Italy_Bari_r004_c010_x1600_y640_s160,3,Italy_Bari_r005_c009_x1440_y800_s160,4,Italy_Bari_r005_c010_x1600_y800_s160,3,4,4,true,true,true,false,false
Italy_Bari_r004_c010_2x2,train,Italy,Bari,4,10,Italy_Bari_r004_c010_x1600_y640_s160,3,Italy_Bari_r004_c011_x1760_y640_s160,3,Italy_Bari_r005_c010_x1600_y800_s160,3,Italy_Bari_r005_c011_x1760_y800_s160,3,4,4,true,true,true,true,true
Italy_Bari_r004_c011_2x2,train,Italy,Bari,4,11,Italy_Bari_r004_c011_x1760_y640_s160,3,Italy_Bari_r004_c012_x1920_y640_s160,3,Italy_Bari_r005_c011_x1760_y800_s160,3,Italy_Bari_r005_c012_x1920_y800_s160,3,4,4,true,true,true,false,false
Italy_Bari_r004_c012_2x2,train,Italy,Bari,4,12,Italy_Bari_r004_c012_x1920_y640_s160,3,Italy_Bari_r004_c013_x2080_y640_s160,3,Italy_Bari_r005_c012_x1920_y800_s160,3,Italy_Bari_r005_c013_x2080_y800_s160,3,4,4,true,true,true,true,true
Italy_Bari_r004_c013_2x2,train,Italy,Bari,4,13,Italy_Bari_r004_c013_x2080_y640_s160,3,Italy_Bari_r004_c014_x2175_y640_s160,3,Italy_Bari_r005_c013_x2080_y800_s160,3,Italy_Bari_r005_c014_x2175_y800_s160,3,4,4,true,true,true,false,false
Italy_Bari_r005_c000_2x2,train,Italy,Bari,5,0,Italy_Bari_r005_c000_x0_y800_s160,3,Italy_Bari_r005_c001_x160_y800_s160,3,Italy_Bari_r006_c000_x0_y911_s160,3,Italy_Bari_r006_c001_x160_y911_s160,3,4,4,true,true,true,false,false
Italy_Bari_r005_c001_2x2,train,Italy,Bari,5,1,Italy_Bari_r005_c001_x160_y800_s160,3,Italy_Bari_r005_c002_x320_y800_s160,3,Italy_Bari_r006_c001_x160_y911_s160,3,Italy_Bari_r006_c002_x320_y911_s160,3,4,4,true,true,true,false,false
Italy_Bari_r005_c002_2x2,train,Italy,Bari,5,2,Italy_Bari_r005_c002_x320_y800_s160,3,Italy_Bari_r005_c003_x480_y800_s160,3,Italy_Bari_r006_c002_x320_y911_s160,3,Italy_Bari_r006_c003_x480_y911_s160,3,4,4,true,true,true,false,false
Italy_Bari_r005_c003_2x2,train,Italy,Bari,5,3,Italy_Bari_r005_c003_x480_y800_s160,3,Italy_Bari_r005_c004_x640_y800_s160,3,Italy_Bari_r006_c003_x480_y911_s160,3,Italy_Bari_r006_c004_x640_y911_s160,3,4,4,true,true,true,false,false
Italy_Bari_r005_c004_2x2,train,Italy,Bari,5,4,Italy_Bari_r005_c004_x640_y800_s160,3,Italy_Bari_r005_c005_x800_y800_s160,3,Italy_Bari_r006_c004_x640_y911_s160,3,Italy_Bari_r006_c005_x800_y911_s160,3,4,4,true,true,true,false,false
Italy_Bari_r005_c005_2x2,train,Italy,Bari,5,5,Italy_Bari_r005_c005_x800_y800_s160,3,Italy_Bari_r005_c006_x960_y800_s160,3,Italy_Bari_r006_c005_x800_y911_s160,3,Italy_Bari_r006_c006_x960_y911_s160,3,4,4,true,true,true,false,false
Italy_Bari_r005_c006_2x2,train,Italy,Bari,5,6,Italy_Bari_r005_c006_x960_y800_s160,3,Italy_Bari_r005_c007_x1120_y800_s160,3,Italy_Bari_r006_c006_x960_y911_s160,3,Italy_Bari_r006_c007_x1120_y911_s160,3,4,4,true,true,true,false,false
Italy_Bari_r005_c007_2x2,train,Italy,Bari,5,7,Italy_Bari_r005_c007_x1120_y800_s160,3,Italy_Bari_r005_c008_x1280_y800_s160,3,Italy_Bari_r006_c007_x1120_y911_s160,3,Italy_Bari_r006_c008_x1280_y911_s160,3,4,4,true,true,true,false,false
Italy_Bari_r005_c008_2x2,train,Italy,Bari,5,8,Italy_Bari_r005_c008_x1280_y800_s160,3,Italy_Bari_r005_c009_x1440_y800_s160,4,Italy_Bari_r006_c008_x1280_y911_s160,3,Italy_Bari_r006_c009_x1440_y911_s160,3,4,4,true,true,true,false,false
Italy_Bari_r005_c009_2x2,train,Italy,Bari,5,9,Italy_Bari_r005_c009_x1440_y800_s160,4,Italy_Bari_r005_c010_x1600_y800_s160,3,Italy_Bari_r006_c009_x1440_y911_s160,3,Italy_Bari_r006_c010_x1600_y911_s160,3,4,4,true,true,true,false,false
Italy_Bari_r005_c010_2x2,train,Italy,Bari,5,10,Italy_Bari_r005_c010_x1600_y800_s160,3,Italy_Bari_r005_c011_x1760_y800_s160,3,Italy_Bari_r006_c010_x1600_y911_s160,3,Italy_Bari_r006_c011_x1760_y911_s160,3,4,4,true,true,true,false,false
Italy_Bari_r005_c011_2x2,train,Italy,Bari,5,11,Italy_Bari_r005_c011_x1760_y800_s160,3,Italy_Bari_r005_c012_x1920_y800_s160,3,Italy_Bari_r006_c011_x1760_y911_s160,3,Italy_Bari_r006_c012_x1920_y911_s160,3,4,4,true,true,true,false,false
Italy_Bari_r005_c012_2x2,train,Italy,Bari,5,12,Italy_Bari_r005_c012_x1920_y800_s160,3,Italy_Bari_r005_c013_x2080_y800_s160,3,Italy_Bari_r006_c012_x1920_y911_s160,3,Italy_Bari_r006_c013_x2080_y911_s160,4,4,4,true,true,true,false,false
Italy_Bari_r005_c013_2x2,train,Italy,Bari,5,13,Italy_Bari_r005_c013_x2080_y800_s160,3,Italy_Bari_r005_c014_x2175_y800_s160,3,Italy_Bari_r006_c013_x2080_y911_s160,4,Italy_Bari_r006_c014_x2175_y911_s160,3,4,4,true,true,true,false,false
Italy_Bologna_r000_c000_2x2,train,Italy,Bologna,0,0,Italy_Bologna_r000_c000_x0_y0_s160,3,Italy_Bologna_r000_c001_x160_y0_s160,3,Italy_Bologna_r001_c000_x0_y160_s160,3,Italy_Bologna_r001_c001_x160_y160_s160,3,4,4,true,true,true,true,true
Italy_Bologna_r000_c001_2x2,train,Italy,Bologna,0,1,Italy_Bologna_r000_c001_x160_y0_s160,3,Italy_Bologna_r000_c002_x320_y0_s160,3,Italy_Bologna_r001_c001_x160_y160_s160,3,Italy_Bologna_r001_c002_x320_y160_s160,3,4,4,true,true,true,false,false
Italy_Bologna_r000_c002_2x2,train,Italy,Bologna,0,2,Italy_Bologna_r000_c002_x320_y0_s160,3,Italy_Bologna_r000_c003_x480_y0_s160,3,Italy_Bologna_r001_c002_x320_y160_s160,3,Italy_Bologna_r001_c003_x480_y160_s160,3,4,4,true,true,true,true,true
Italy_Bologna_r000_c003_2x2,train,Italy,Bologna,0,3,Italy_Bologna_r000_c003_x480_y0_s160,3,Italy_Bologna_r000_c004_x640_y0_s160,3,Italy_Bologna_r001_c003_x480_y160_s160,3,Italy_Bologna_r001_c004_x640_y160_s160,3,4,4,true,true,true,false,false
Italy_Bologna_r000_c004_2x2,train,Italy,Bologna,0,4,Italy_Bologna_r000_c004_x640_y0_s160,3,Italy_Bologna_r000_c005_x800_y0_s160,3,Italy_Bologna_r001_c004_x640_y160_s160,3,Italy_Bologna_r001_c005_x800_y160_s160,3,4,4,true,true,true,true,true
Italy_Bologna_r000_c005_2x2,train,Italy,Bologna,0,5,Italy_Bologna_r000_c005_x800_y0_s160,3,Italy_Bologna_r000_c006_x960_y0_s160,3,Italy_Bologna_r001_c005_x800_y160_s160,3,Italy_Bologna_r001_c006_x960_y160_s160,3,4,4,true,true,true,false,false
Italy_Bologna_r000_c006_2x2,train,Italy,Bologna,0,6,Italy_Bologna_r000_c006_x960_y0_s160,3,Italy_Bologna_r000_c007_x1120_y0_s160,3,Italy_Bologna_r001_c006_x960_y160_s160,3,Italy_Bologna_r001_c007_x1120_y160_s160,3,4,4,true,true,true,true,true
Italy_Bologna_r000_c007_2x2,train,Italy,Bologna,0,7,Italy_Bologna_r000_c007_x1120_y0_s160,3,Italy_Bologna_r000_c008_x1280_y0_s160,3,Italy_Bologna_r001_c007_x1120_y160_s160,3,Italy_Bologna_r001_c008_x1280_y160_s160,3,4,4,true,true,true,false,false
