split,country,city,patches,complete_blocks,all_valid,usable_train,s1_product_id,s2_product_id,pair_gap_days,s2_reselected_round,provenance_status
train,Italy,Bologna,130,108,108,108,S1A_IW_GRDH_1SDV_20230203T051944_20230203T052009_047067_05A563_0D3E,20230202T101231_20230202T101232_T32TPQ,0.7926,false,table_matched
train,Italy,Brescia,361,324,324,319,S1A_IW_GRDH_1SDV_20230220T052727_20230220T052752_047315_05ADC6_9AD9,20230212T101131_20230212T101131_T32TNR;20230212T101131_20230212T101131_T32TPR,7.7981,false,gee_recovered
train,Italy,Catania,117,96,57,57,S1A_IW_GRDH_1SDV_20230217T050504_20230217T050529_047271_05AC47_7624,20230221T095029_20230221T095655_T33SWB,4.205,false,table_matched
train,Italy,Foggia,35,24,24,24,S1A_IW_GRDH_1SDV_20230313T050349_20230313T050414_047621_05B824_533B,20230318T095031_20230318T095031_T33TWF,5.2052,false,table_matched
train,Italy,Livorno,20,12,12,12,S1A_IW_GRDH_1SDV_20230215T052008_20230215T052033_047242_05AB3E_160B,20230212T101131_20230212T101131_T32TPP,2.7927,false,table_matched
train,Italy,Milan,925,864,624,624,S1A_IW_GRDH_1SDV_20230213T053540_20230213T053605_047213_05AA42_D337,20230215T102121_20230215T102115_T32TNR,2.2031,false,table_matched
train,Italy,Modena,72,55,55,55,S1A_IW_GRDH_1SDV_20230215T051943_20230215T052008_047242_05AB3E_CB06,20230212T101131_20230212T101131_T32TPQ,2.7926,false,table_matched
train,Italy,Naples,672,620,348,348,S1A_IW_GRDH_1SDV_20230318T051221_20230318T051246_047694_05BAA7_A0A4,20230318T095031_20230318T095031_T33TVF,0.1993,false,table_matched
train,Italy,Palermo,32,21,21,21,S1A_IW_GRDH_1SDV_20230318T051311_20230318T051336_047694_05BAA7_8E45,20230318T095031_20230318T095031_T33SUC,0.1993,false,table_matched
train,Italy,Reggio Calabria,25,16,14,14,S1A_IW_GRDH_1SDV_20230320T045627_20230320T045652_047723_05BB89_A741,20230308T095031_20230308T095141_T33SWC,11.7892,true,gee_recovered
train,Italy,Trieste,56,42,42,42,S1A_IW_GRDH_1SDV_20230215T051918_20230215T051943_047242_05AB3E_A7C7,20230214T100029_20230214T100452_T33TVL,0.7995,false,table_matched
train,Italy,Turin,322,286,242,242,S1A_IW_GRDH_1SDV_20230213T053605_20230213T053630_047213_05AA42_EEEE,20230213T103039_20230213T103136_T32TLQ,0.21,false,table_matched
train,Poland,Bialystok,84,66,65,65,S1A_IW_GRDH_1SDV_20230315T044410_20230315T044435_047650_05B911_E26E,20230228T094029_20230228T094031_T34UFD;20230228T094029_20230228T094031_T34UFE,14.7905,true,gee_recovered
train,Poland,Gdansk,126,104,0,0,S1A_IW_GRDH_1SDV_20221219T050031_20221219T050056_046396_058ED5_D5D5,20230209T100151_20230209T100209_T34UCF,52.2118,true,gee_recovered
train,Poland,Gdynia,84,66,0,0,S1A_IW_GRDH_1SDV_20221219T050031_20221219T050056_046396_058ED5_D5D5,20221218T095421_20221218T095420_T34UCF,0.7951,false,table_matched
train,Poland,Lublin,112,91,0,0,S1A_IW_GRDH_1SDV_20230207T044500_20230207T044525_047125_05A751_1D69,20230208T094049_20230208T094047_T34UFB,1.2092,false,table_matched
train,Poland,Opole,40,28,28,28,S1A_IW_GRDH_1SDV_20230301T050119_20230301T050144_047446_05B236_6A57,20230301T100021_20230301T100024_T33UYS,0.2119,false,table_matched
train,Poland,Plock,28,18,17,17,S1A_IW_GRDH_1SDV_20230308T045242_20230308T045307_047548_05B59F_A758,20230112T095249_20230112T095252_T34UCD;20230112T095249_20230112T095252_T34UDD,54.7895,true,gee_recovered
train,Poland,Poznan,91,72,49,49,S1A_IW_GRDH_1SDV_20221212T050913_20221212T050938_046294_058B50_C633,20221214T101431_20221214T101426_T33UXU,2.213,false,table_matched
train,Poland,Radom,66,50,50,50,S1A_IW_GRDH_1SDV_20230303T044500_20230303T044525_047475_05B322_8339,20230104T094411_20230104T094406_T34UDB;20230104T094411_20230104T094406_T34UDC;20230104T094411_20230104T094406_T34UEB;20230104T094411_20230104T094406_T34UEC,57.7907,true,gee_recovered
train,Poland,Warsaw,304,270,234,234,S1A_IW_GRDH_1SDV_20230303T044435_20230303T044500_047475_05B322_E8D2,20230228T094029_20230228T094559_T34UDD,2.7905,true,table_matched
train,Poland,Wroclaw,98,78,78,78,S1A_IW_GRDH_1SDV_20230301T050119_20230301T050144_047446_05B236_6A57,20230209T100151_20230209T100209_T33UXS,19.7881,true,gee_recovered
train,Poland,Zielona Gora,50,36,35,35,S1A_IW_GRDH_1SDV_20230318T050926_20230318T050951_047694_05BAA7_0595,20230209T100151_20230209T100209_T33UWT,36.7938,true,gee_recovered
train,Turkiye,Ankara,420,377,377,376,S1A_IW_GRDH_1SDV_20230120T035836_20230120T035901_046862_059E7E_1A1A,20230121T084159_20230121T084309_T36TVK,1.2017,false,table_matched
train,Turkiye,Antalya,204,176,166,166,S1A_IW_GRDH_1SDV_20221227T035927_20221227T035952_046512_0592B6_C36B,20221227T084351_20221227T084350_T36STF,0.2019,false,table_matched
train,Turkiye,Balikesir,63,48,48,48,S1A_IW_GRDH_1SDV_20230211T041517_20230211T041542_047183_05A946_2C28,20230216T085939_20230216T090814_T35SND,5.2043,false,table_matched
train,Turkiye,Bursa,336,297,297,294,S1A_IW_GRDH_1SDV_20230101T040646_20230101T040711_046585_059533_EA58,20230109T085331_20230109T085732_T35TPE,8.2031,false,gee_recovered
train,Turkiye,Erzurum,36,25,23,23,S1A_IW_GRDH_1SDV_20230124T032528_20230124T032553_046920_05A084_EF46,20230102T081239_20230102T081235_T37TFE,21.7963,false,gee_recovered
train,Turkiye,Istanbul,378,338,338,334,S1A_IW_GRDH_1SDV_20230106T041453_20230106T041518_046658_0597A2_B268,20230109T085331_20230109T085732_T35TPF,3.1973,false,table_matched
train,Turkiye,Konya,315,280,182,168,S1A_IW_GRDH_1SDV_20230120T035901_20230120T035926_046862_059E7E_5340,20230121T084159_20230121T084309_T36SVH,1.2017,false,table_matched
train,Turkiye,Manisa,20,12,12,12,S1A_IW_GRDH_1SDV_20230218T040709_20230218T040734_047285_05ACC0_0E38,20230216T085939_20230216T090814_T35SNC,1.7899,false,table_matched
train,Turkiye,Mardin,48,35,33,33,S1A_IW_GRDH_1SDV_20230212T031803_20230212T031828_047197_05A9B3_04C3,20230211T081009_20230211T081235_T37SFB,0.7906,false,table_matched
train,Turkiye,Mersin,238,208,208,96,S1A_IW_GRDH_1SDV_20230122T034313_20230122T034338_046891_059F84_4162,20221204T083331_20221204T083327_T36SWF,48.7939,false,gee_recovered
train,Turkiye,Mugla,25,16,12,12,S1A_IW_GRDH_1SDV_20230319T041541_20230319T041606_047708_05BB15_4BA4,20230325T084619_20230325T084915_T35SNA;20230325T084619_20230325T084915_T35SPA,6.1976,false,gee_recovered
train,Turkiye,Sakarya,121,100,100,100,S1A_IW_GRDH_1SDV_20230314T040644_20230314T040709_047635_05B898_7782,20230315T084719_20230315T085406_T36TTL,1.203,false,table_matched
train,Turkiye,Trabzon,65,48,45,45,S1A_IW_GRDH_1SDV_20230124T032528_20230124T032553_046920_05A084_EF46,20230122T081139_20230122T081235_T37TEF,1.7964,false,table_matched
val,Italy,Cagliari,117,96,85,83,S1A_IW_GRDH_1SDV_20230328T052907_20230328T052932_047840_05BF83_CA53,20230329T100629_20230329T101232_T32SNJ,1.202,false,table_matched
val,Italy,Florence,160,135,135,135,S1A_IW_GRDH_1SDV_20230215T051943_20230215T052008_047242_05AB3E_CB06,20230212T101131_20230212T101131_T32TPP,2.7924,false,table_matched
val,Italy,Messina,24,15,15,15,S1A_IW_GRDH_1SDV_20230217T050504_20230217T050529_047271_05AC47_7624,20230318T095031_20230318T095031_T33SWC,29.2048,false,gee_recovered
val,Italy,Pavia,30,20,20,20,S1A_IW_GRDH_1SDV_20230213T053540_20230213T053605_047213_05AA42_D337,20230215T102121_20230215T102115_T32TMR,2.2032,false,table_matched
val,Italy,Perugia,70,54,54,54,S1A_IW_GRDH_1SDV_20230215T052008_20230215T052033_047242_05AB3E_160B,20230214T100029_20230214T100452_T32TQN,0.7995,false,table_matched
val,Italy,Prato,56,42,42,42,S1A_IW_GRDH_1SDV_20230215T051943_20230215T052008_047242_05AB3E_CB06,20230212T101131_20230212T101131_T32TPP,2.7924,false,table_matched
val,Italy,Taranto,48,35,30,30,S1A_IW_GRDH_1SDV_20230119T045603_20230119T045628_046848_059E01_E2B4,20230218T094029_20230218T094847_T33TXE;20230218T094029_20230218T094847_T33TXF,30.2038,true,gee_recovered
val,Italy,Venice,104,84,84,83,S1A_IW_GRDH_1SDV_20230215T051918_20230215T051943_047242_05AB3E_A7C7,20230212T101131_20230212T101131_T32TQR,2.7925,false,table_matched
val,Poland,Bielsko-Biala,42,30,30,30,S1A_IW_GRDH_1SDV_20230112T050147_20230112T050212_046746_059A9E_3EF6,20230112T095249_20230112T095252_T33UYR,0.2048,false,table_matched
val,Poland,Czestochowa,63,48,47,47,S1A_IW_GRDH_1SDV_20230112T050122_20230112T050147_046746_059A9E_B9CE,20230112T095249_20230112T095252_T33UYS,0.2049,false,table_matched
val,Poland,Elblag,35,24,0,0,S1A_IW_GRDH_1SDV_20221219T050031_20221219T050056_046396_058ED5_D5D5,20221218T095421_20221218T095420_T34UCF,0.7951,false,table_matched
val,Poland,Gorzow Wielkopolski,28,18,17,17,S1A_IW_GRDH_1SDV_20230318T050901_20230318T050926_047694_05BAA7_40AB,20230301T100021_20230301T100024_T33UWU,16.7937,true,gee_recovered
val,Poland,Szczecin,70,54,49,49,S1A_IW_GRDH_1SDV_20230323T051713_20230323T051738_047767_05BD0A_372D,20230116T102351_20230116T102349_T33UVV,65.7857,true,gee_recovered
val,Turkiye,Aydin,54,40,39,39,S1A_IW_GRDH_1SDV_20230319T041541_20230319T041606_047708_05BB15_4BA4,20230320T084651_20230320T085613_T35SNB,1.1974,false,table_matched
val,Turkiye,Denizli,150,126,97,97,S1A_IW_GRDH_1SDV_20230326T040734_20230326T040759_047810_05BE7D_67B2,20230320T084651_20230320T085613_T35SPB,5.797,false,table_matched
val,Turkiye,Eskisehir,12,6,6,6,S1A_IW_GRDH_1SDV_20230321T035835_20230321T035900_047737_05BC08_4DD6,20230320T084651_20230320T085613_T36SUJ,0.7912,false,table_matched
val,Turkiye,Kayseri,36,25,23,23,S1A_IW_GRDH_1SDV_20230122T034223_20230122T034248_046891_059F84_8018,20230120T082241_20230120T082244_T36SYH,1.8007,false,table_matched
val,Turkiye,Kocaeli,112,91,85,85,S1A_IW_GRDH_1SDV_20230314T040644_20230314T040709_047635_05B898_7782,20230109T085331_20230109T085732_T35TQF;20230109T085331_20230109T085732_T36TTL,63.7971,false,gee_recovered
val,Turkiye,Ordu,24,15,10,10,S1A_IW_GRDH_1SDV_20230110T034158_20230110T034223_046716_05999C_88C9,20230110T082321_20230110T082758_T37TCF,0.1991,false,table_matched
val,Turkiye,Tekirdag,42,30,16,16,S1A_IW_GRDH_1SDV_20230130T041452_20230130T041517_047008_05A375_23C7,20230216T085939_20230216T090814_T35TNF,17.2042,false,gee_recovered
